Unnamed: 0,name,aoi,latitude,longitude,pass,scene,tile,insitu_data_path,wlvar,datevar
0,pt1,amerada,29.45,-91.338,"['007', '438']","['161L', '148L']","['081F', '074F']",,,
1,pt2,amerada,29.456,-91.34,[],[],[],,,
2,pt1,soldado,3.76131,-77.166473,"['007', '438']","['161L', '148L']","['081F', '074F']",,,
3,pt2,soldado,3.755192,-77.083241,"['007', '438']","['161L', '148L']","['081F', '074F']",,,
4,puetro-del-morro,guayas,-2.609968,-80.302002,"['035', '188', '009']","['150R', '159R', '150R']","['075F', '080F', '075F']",2104584_puerto-morro_20230521-20240509.0.csv,LEVEL,datetime_UTC
5,morro2,guayas,-2.647,-80.2542,"['035', '188', '009']","['150R', '159R', '150R']","['075F', '080F', '075F']",2104584_puerto-morro_20230521-20240509.0.csv,LEVEL,datetime_UTC
6,morro3,guayas,-2.61578,-80.27541,"['035', '188', '009']","['150R', '159R', '150R']","['075F', '080F', '075F']",2104584_puerto-morro_20230521-20240509.0.csv,LEVEL,datetime_UTC
7,rioguayas,guayas,-2.195,-79.88,"['035', '188']","['151R', '158L']","['076F', '079F']",SLSMF_gyer_rad_2023-01-01-2025-12-31,slevel,stime
8,puna,guayas,-2.735,-79.912,"['035', '188']","['150R', '159L']","['075F', '080F']",SLSMF_puna_rad_2023-01-01-2025-12-31,slevel,stime
9,bolivar,guayas,-3.25927,-80.00194,"['035', '188']","['149R', '160L']","['075F', '080F']",SLSMF_pbol_rad_2023-01-01-2025-12-31,slevel,stime
10,lacruz,guayas,-3.6336111,-80.5875,"['035', '188', '009']","['148L', '161R', '148R']","['074F', '081F', '074F']",SLSMF_lacr_ecs_2023-01-01-2025-12-31,slevel,stime
11,libertadII,guayas,-2.2177,-80.9064,"['009', '009']","['151L', '151L']","['076F', '076F']",SLSMF_lali_prs_2023-01-01-2025-12-31,slevel,stime
12,lopez,guayas,-1.561,-80.817,['188'],['157R'],['079F'],SLSMF_plop_ras_2023-01-01-2025-12-31,slevel,stime
13,talara,guayas,-4.5751,-81.2827,"['009', '009']","['151L', '151L']","['076F', '076F']",SLSMF_tala2_prs_2023-01-01-2025-12-31,slevel,stime
14,daule,guayas,-1.854488,-79.985177,"['035', '188']","['151R', '158L']","['076F', '079F']",,slevel,stime
15,colimes,guayas,-1.547936,-80.007603,"['035', '188']","['152R', '157L']","['076F', '079F']",,slevel,stime
16,bulubulu,guayas,-2.25621,-79.556835,"['313', '466']","['150L', '158R']","['075F', '079F']",,slevel,stime
17,palmar,guayas,-1.835361,-79.441111,"['313', '466']","['151L', '158R']","['076F', '079F']",,slevel,stime
18,3460_chs,stlawrence,48.3339,-70.869267,"['242', '341', '548']","['069R', '240L', '069L']","['035F', '120F', '035F']",3460_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
19,3440_chs,stlawrence,48.245,-70.179667,"['035', '242', '341', '009']","['239L', '069L', '240R', '239L']","['120F', '035F', '120F', '120F']",3440_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
20,ptsg_sol,stlawrence,48.23884444,-70.10206389,"['035', '242', '341', '009']","['239L', '069L', '240R', '239L']","['120F', '035F', '120F', '120F']",ptsg_sol_l2.csv,wlvl CGVD28 (m),datetime UTC
21,ptsg_ct2x,stlawrence,48.23884444,-70.10206389,"['035', '242', '341', '009']","['239L', '069L', '240R', '239L']","['120F', '035F', '120F', '120F']",ptsg_ct2x_l2.csv,wlvl CGVD28 (m),datetime UTC
22,3424_chs,stlawrence,48.126333,-69.72975,"['035', '242', '520', '009']","['239L', '070L', '069R', '239R']","['120F', '035F', '035F', '120F']",3424_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
23,3248_chs,stlawrence,46.811111,-71.20175,"['341', '548', '009']","['237L', '072R', '237L']","['119F', '036F', '119F']",3248_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
24,3248_gnssir,stlawrence,46.81116517,-71.20182317,"['341', '548', '009']","['237L', '072R', '237L']","['119F', '036F', '119F']",3248_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
25,ptio_gnssir,stlawrence,46.8802302,-71.13829783,"['341', '548', '009']","['237R', '072R', '237L']","['119F', '036F', '119F']",ptio_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
26,chri_gnssir,stlawrence,46.96724967,-71.01985842,"['341', '548', '009']","['237R', '072R', '237L']","['119F', '036F', '119F']",chri_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
27,sab1_gnssir,stlawrence,47.01836175,-70.9256845,"['341', '548', '009']","['237R', '072L', '237L']","['119F', '036F', '119F']",sab1_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
28,3110_chs,stlawrence,46.85816667,-71.00333333,"['341', '548', '009']","['237R', '072R', '237L']","['119F', '036F', '119F']",3110_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
29,3110_gnssir,stlawrence,46.8581945,-71.00388638,"['341', '548', '009']","['237R', '072R', '237L']","['119F', '036F', '119F']",3110_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
30,sjio_gnssir,stlawrence,46.915536,-70.8961955,"['341', '548', '009']","['237R', '072L', '237L']","['119F', '036F', '119F']",sjio_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
31,3100_chs,stlawrence,46.9965,-70.808167,"['341', '548', '009']","['237R', '072L', '237L']","['119F', '036F', '119F']",3100_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
32,brsm_gnssir,stlawrence,46.93521258,-70.73588658,"['035', '341', '548', '009']","['237L', '237R', '072L', '237L']","['119F', '119F', '036F', '119F']",brsm_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
33,3190_chs,stlawrence,47.0195,-70.670833,"['035', '341', '548', '009']","['237L', '237R', '072L', '237L']","['119F', '119F', '036F', '119F']",3190_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
34,3075_chs,stlawrence,47.0895,-70.710833,"['341', '548', '009']","['238R', '072L', '237L']","['119F', '036F', '119F']",3075_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
35,ilag_gnssir,stlawrence,47.05533058,-70.53228225,"['035', '242', '341', '548', '009']","['237L', '071R', '238R', '072L', '237L']","['119F', '036F', '119F', '036F', '119F']",ilag_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
